"","id","param","alpha","alphaMean","alphaSd","alpha_upper","alpha_lower","xmin","xminMean","xminSd","xmin_upper","xmin_lower"
"1","Meuse","longest",3.55762031460549,3.53061567293071,0.16096179963392,3.82294980432525,3.22080704110522,57,53.063,8.26652081388333,67.025,38
"2","Meuse","shortest",3.61142652963148,3.53061567293071,0.300094729579452,4.71819540895748,3.48211899237624,29,33.354,7.94341121822242,57,27
"3","Meuse","volume",1.75241965745535,1.76947946355925,0.0565196573848122,1.92222608930603,1.72121608175023,3043.20844365487,4875.4898942638,7021.48678313667,18232.4489496033,2612.54845072527
"4","Lek canal","longest",3.763120993207,3.68335654183308,0.192776111881327,3.8939855503769,3.18004787019023,62,77.934,22.4697247987716,135,62
"5","Lek canal","shortest",3.80906798799125,3.68335654183308,0.288265986570568,4.59162124847274,3.56523606685201,91,86.637,22.1411259980259,143,54
"6","Lek canal","volume",2.03858372843901,2.02071002120236,0.0492044209988944,2.09018923544925,1.87011295790162,60720.8598882162,82795.4473839883,58485.1546971667,265358.393396646,57149.4973596153
"7","Overijsselse vecht","longest",3.31444265222698,3.19675024422519,0.290796031118881,3.96381255384299,2.79185843779183,35,28.095,7.36710589371764,46.025,19
"8","Overijsselse vecht","shortest",3.68221610039348,3.19675024422519,0.341321100312508,4.47877528029465,3.04638742349617,37,24.199,8.76871081113349,41,15
"9","Overijsselse vecht","volume",1.84177186031822,1.82537562360533,0.0816958312413257,1.99708964351542,1.68627599046729,4364.14343473426,4119.98618408012,4257.29259167644,11409.6676152339,1401.93572166445
"10","WWTP Werverschoof effluent canal","longest",2.44020833222115,2.45214313922175,0.075111672119734,2.49912397352919,2.40551017774644,66,66.578,19.56396341912,74,62
"11","WWTP Werverschoof effluent canal","shortest",2.67488618661631,2.45214313922175,0.110709236349441,2.77349371263978,2.5898300258961,63,59.098,15.2068946746417,71,51
"12","WWTP Werverschoof effluent canal","volume",1.54474380169541,1.54516239074905,0.0100421841150191,1.56589067440219,1.52691026631687,26600.4933164755,25752.6459459915,7584.90774149654,41378.5451589619,14143.3139907796
"13","Rhine","longest",2.9775119587435,2.98465634492161,0.139915848929273,3.18982926997528,2.8047991515153,67,71.465,19.5011042781702,114,61
"14","Rhine","shortest",3.03079537790918,2.98465634492161,0.221236046251183,3.47671831643636,2.87947644688395,52,55.493,13.5245282307319,79.025,42
"15","Rhine","volume",1.68578596479907,1.69006145181316,0.0250758868109374,1.73666231548189,1.64244301641067,24746.6394915922,21401.108884818,7224.33355010422,33673.9462556656,8933.90410864597
"16","All","longest",2.71975865339425,2.72659164598758,0.0817072337129218,2.88367710813905,2.66034311918639,96,96.594,22.3219944322956,107,57
"17","All","shortest",3.1361791443926,2.72659164598758,0.168374095690549,3.20973679186284,2.92115514174749,51,59.864,27.4323538552206,82,47
"18","All","volume",1.65740394560956,1.66810525762002,0.0111164911396663,1.69048747757249,1.6494333236583,14566.9368161652,22341.9669804425,9989.53008720307,40408.7355067987,14370.4459036464
