"","id","param","alpha","alphaMean","alphaSd","alpha_upper","alpha_lower","xmin","xminMean","xminSd","xmin_upper","xmin_lower"
"1","Meuse","longest",3.00521786540772,3.0046540304854,0.241763541849681,3.52696851115641,2.61423840639019,24,23.828,4.28307842103793,36,19
"2","Meuse","shortest",3.29698001949833,3.0046540304854,0.262057625522142,3.89146863379867,2.84210515995737,20,18.032,2.71114852531659,24,14
"3","Meuse","volume",1.69735414732791,1.71046469227122,0.0790829935346742,1.89732133614531,1.58463562416781,1876.5780117443,2248.03966530537,1432.90136273737,5488.99068435209,1149.40403219339
"4","Lek canal","longest",3.19417632944479,2.87726974900629,0.183802424375612,3.35579590675742,2.59394488810937,52,25.366,11.4902597912349,54,18
"5","Lek canal","shortest",2.93408011278338,2.87726974900629,0.185067574367471,3.40671310840724,2.77285499744877,14,16.458,3.69457519694564,23,14
"6","Lek canal","volume",1.64588137581859,1.6576619033907,0.0429940232966917,1.74497458159205,1.57654540304158,1401.93572166445,1600.57773503301,532.743577044456,2860.60860665272,1221.24178420547
"7","Overijsselse vecht","longest",2.54031660172283,2.46191256436437,1.47706291690322,4.05751464871046,1.79662296634283,40,23.467,11.685523628082,48,12
"8","Overijsselse vecht","shortest",2.41901025078909,2.46191256436437,0.689107018527661,4.17238341754018,1.88567231432882,15,15.786,5.35264933045822,32,10
"9","Overijsselse vecht","volume",1.4629664466858,1.52068524045695,0.210373400329746,1.87823026370277,1.2949486237256,1114.95123275902,2659.58311929776,4314.87515158826,19891.7269244896,439.822971502571
"10","WWTP Werverschoof effluent canal","longest",2.58581941378168,2.57649499953055,0.127917056176218,2.88291638492754,2.36834633389948,72,62.317,11.7087833102593,87,46
"11","WWTP Werverschoof effluent canal","shortest",2.78459235276737,2.57649499953055,0.168449945285651,3.18316320940853,2.51023451978249,47,50.042,7.72799831508509,67,32
"12","WWTP Werverschoof effluent canal","volume",1.60412877419827,1.60229010835383,0.0340958607138971,1.67026025532467,1.53425417865282,8835.72933822129,14222.1969737569,13021.6293529558,51962.1519298854,6208.83428104463
"13","Rhine","longest",2.76256630609038,3.15504226489762,1.06944090689446,6.6530556097355,2.51140598432608,28,36.387,16.7658081619504,99,25
"14","Rhine","shortest",5.30906597352705,3.15504226489762,1.26924163121158,6.93535629269613,2.81150724451035,55,32.219,11.1306302575339,58,19
"15","Rhine","volume",1.72900839082765,1.73170371662063,0.123841170903139,1.93317738327643,1.57591185590399,5726.86160810639,6551.35301744683,8420.02421952581,13235.9225486555,2932.15314335047
"16","All","longest",2.66216829369588,2.67988865603625,0.113585118266622,2.95008343796796,2.49077809825038,77,64.621,12.9097645610221,95,47
"17","All","shortest",2.97987618341817,2.67988865603625,0.152573499894147,3.27583828176048,2.67502563643823,46,47.077,7.6072953105517,67,38
"18","All","volume",1.6221017364564,1.62487507905095,0.0323098199732928,1.6958327760651,1.56920703675051,8933.90410864597,18226.9115783921,18728.5246113657,69799.905577458,5557.16324493498
