"","polymer_number","polymer_name","area","elongation","length","width","volume","weight","FTIR_analysed_filter","shape","sampletype","location","sieve","sample_volume"
"1",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"2",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"3",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"4",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"5",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"6",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"7",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"8",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"9",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"10",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"11",3,"polyethylene, chlorinated",756.25,2.09610115651707,47.3127889687344,22.5718061466797,8835.02606742075,1.02486302382081e-08,"BS100III","particle","sample","BS",100,1870
"12",3,"polyethylene, chlorinated",726,1.8804851734877,41.8867520822515,22.274438890983,7617.05153483119,8.83577978040418e-09,"BS100III","particle","sample","BS",100,1870
"13",3,"polyethylene, chlorinated",726,2.70995690695651,47.3127889687344,17.4588713375041,5285.76122352466,6.1314830192886e-09,"BS100III","particle","sample","BS",100,1870
"14",3,"polyethylene, chlorinated",695.75,2.26407551699192,49.5,21.8632283369092,8672.22310771064,1.00597788049443e-08,"BS100III","particle","sample","BS",100,1870
"15",3,"polyethylene, chlorinated",695.75,1.69552085079051,42.9563732174866,25.3352078787228,10105.8585103483,1.1722795872004e-08,"BS100III","particle","sample","BS",100,1870
"16",3,"polyethylene, chlorinated",695.75,2.47529112657344,52.1775813927783,21.0793715666924,8497.59297437523,9.85720785027526e-09,"BS100III","particle","sample","BS",100,1870
"17",3,"polyethylene, chlorinated",605,2.24420653681612,40.0406043910428,17.8417644428792,4671.67787301061,5.41914633269231e-09,"BS100III","particle","sample","BS",100,1870
"18",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"19",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"20",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"21",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"22",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"23",3,"polyethylene, chlorinated",756.25,1.69910266701317,41.8867520822515,24.6522784617152,9330.12533852146,1.08229453926849e-08,"BS100III","particle","sample","BS",100,1870
"24",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"25",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"26",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"27",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"28",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"29",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"30",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"31",3,"polyethylene, chlorinated",574.75,1.31177008352376,34.7850542618522,26.5176456596803,8965.18536792347,1.03996150267912e-08,"BS100III","particle","sample","BS",100,1870
"32",3,"polyethylene, chlorinated",544.5,2.08948577127163,33.4551939166402,16.0112092537868,3143.46392553308,3.64641815361837e-09,"BS100III","particle","sample","BS",100,1870
"33",3,"polyethylene, chlorinated",544.5,1.18049511770463,27.5,23.2953102368363,5469.73584796988,6.34489358364506e-09,"BS100III","particle","sample","BS",100,1870
"34",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"35",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"36",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"37",3,"polyethylene, chlorinated",332.75,2.720032695745,27.5,10.1101725883732,1030.2591847413,1.1951006542999e-09,"BS100III","particle","sample","BS",100,1870
"38",3,"polyethylene, chlorinated",332.75,2.35876997243027,24.5967477524977,10.4277856849074,980.298963209392,1.13714679732289e-09,"BS100III","particle","sample","BS",100,1870
"39",3,"polyethylene, chlorinated",332.75,1.2209520285227,22.6770809408971,18.5732775826871,2867.21930018163,3.32597438821069e-09,"BS100III","particle","sample","BS",100,1870
"40",3,"polyethylene, chlorinated",302.5,1.96320316508136,23.3345237791561,11.8859444576074,1208.26723116944,1.40158998815655e-09,"BS100III","particle","sample","BS",100,1870
"41",3,"polyethylene, chlorinated",302.5,1.69542895153261,22.6770809408971,13.3754239128675,1486.95875697434,1.72487215809023e-09,"BS100III","particle","sample","BS",100,1870
"42",3,"polyethylene, chlorinated",302.5,1.76431636712711,28.0446073247603,15.8954526791735,2597.11886447964,3.01265788279638e-09,"BS100III","particle","sample","BS",100,1870
"43",3,"polyethylene, chlorinated",272.25,2.06547536705197,22.6770809408971,10.9791098468843,1001.88545797928,1.16218713125597e-09,"BS100III","particle","sample","BS",100,1870
"44",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"45",3,"polyethylene, chlorinated",937.75,2.21350710164876,51.8868962263113,23.4410344505616,10449.7981451935,1.21217658484244e-08,"BS100III","particle","sample","BS",100,1870
